split,reference,metric,mean_diff,ci95,lower95,upper95,n
authority_churn_shift,uncertainty_triggered_handoff,override_precision,0.059864,0.000640,0.059224,0.060504,10
authority_churn_shift,uncertainty_triggered_handoff,recovery_success,0.123993,0.001015,0.122978,0.125008,10
authority_churn_shift,uncertainty_triggered_handoff,robust_utility,0.140152,0.043234,0.096918,0.183386,10
authority_churn_shift,uncertainty_triggered_handoff,safety_violation,-0.001042,0.024763,-0.025805,0.023721,10
authority_churn_shift,uncertainty_triggered_handoff,task_success,0.081771,0.033687,0.048083,0.115458,10
authority_churn_shift,uncertainty_triggered_handoff,unsafe_autonomy,0.017017,0.000263,0.016753,0.017280,10
combined_authority_stress,authority_boundary_v4,authority_regret,-0.035747,0.000671,-0.036419,-0.035076,10
combined_authority_stress,authority_boundary_v4,boundary_calibration_error,-0.010207,0.000825,-0.011032,-0.009383,10
combined_authority_stress,authority_boundary_v4,handoff_churn,-0.020124,0.000895,-0.021019,-0.019228,10
combined_authority_stress,authority_boundary_v4,human_burden,-0.154339,0.000906,-0.155246,-0.153433,10
combined_authority_stress,authority_boundary_v4,intervention_cost,-0.014122,0.000555,-0.014677,-0.013567,10
combined_authority_stress,authority_boundary_v4,late_handoff,-0.015206,0.000751,-0.015957,-0.014456,10
combined_authority_stress,authority_boundary_v4,override_precision,0.029863,0.000856,0.029007,0.030719,10
combined_authority_stress,authority_boundary_v4,recovery_success,0.067499,0.000994,0.066505,0.068494,10
combined_authority_stress,authority_boundary_v4,robust_utility,0.119763,0.042895,0.076868,0.162658,10
combined_authority_stress,authority_boundary_v4,safety_violation,0.003125,0.042452,-0.039327,0.045576,10
combined_authority_stress,authority_boundary_v4,task_success,0.064063,0.023331,0.040732,0.087394,10
combined_authority_stress,authority_boundary_v4,unsafe_autonomy,0.016925,0.000202,0.016723,0.017127,10
combined_authority_stress,bayesian_authority_allocation,authority_regret,-0.020631,0.000635,-0.021267,-0.019996,10
combined_authority_stress,bayesian_authority_allocation,boundary_calibration_error,0.000192,0.000600,-0.000408,0.000791,10
combined_authority_stress,bayesian_authority_allocation,handoff_churn,0.010223,0.001152,0.009071,0.011376,10
combined_authority_stress,bayesian_authority_allocation,human_burden,-0.024848,0.001026,-0.025874,-0.023822,10
combined_authority_stress,bayesian_authority_allocation,intervention_cost,0.007528,0.000551,0.006977,0.008080,10
combined_authority_stress,bayesian_authority_allocation,late_handoff,-0.035731,0.000513,-0.036245,-0.035218,10
combined_authority_stress,bayesian_authority_allocation,override_precision,0.039887,0.000626,0.039260,0.040513,10
combined_authority_stress,bayesian_authority_allocation,recovery_success,0.080305,0.000881,0.079424,0.081187,10
combined_authority_stress,bayesian_authority_allocation,robust_utility,0.088075,0.027474,0.060601,0.115548,10
combined_authority_stress,bayesian_authority_allocation,safety_violation,-0.001042,0.039881,-0.040922,0.038839,10
combined_authority_stress,bayesian_authority_allocation,task_success,0.066146,0.029588,0.036557,0.095734,10
combined_authority_stress,bayesian_authority_allocation,unsafe_autonomy,-0.000120,0.000241,-0.000361,0.000120,10
combined_authority_stress,cbf_safety_filter,authority_regret,0.048857,0.000615,0.048242,0.049472,10
combined_authority_stress,cbf_safety_filter,boundary_calibration_error,0.009430,0.000525,0.008904,0.009955,10
combined_authority_stress,cbf_safety_filter,handoff_churn,0.079513,0.001352,0.078161,0.080866,10
combined_authority_stress,cbf_safety_filter,human_burden,0.380604,0.001111,0.379493,0.381715,10
combined_authority_stress,cbf_safety_filter,intervention_cost,0.153767,0.000525,0.153242,0.154292,10
combined_authority_stress,cbf_safety_filter,late_handoff,0.011230,0.000736,0.010494,0.011966,10
combined_authority_stress,cbf_safety_filter,override_precision,-0.029800,0.000809,-0.030608,-0.028991,10
combined_authority_stress,cbf_safety_filter,recovery_success,-0.036830,0.000779,-0.037609,-0.036051,10
combined_authority_stress,cbf_safety_filter,robust_utility,-0.276117,0.037898,-0.314015,-0.238218,10
combined_authority_stress,cbf_safety_filter,safety_violation,0.092708,0.023368,0.069340,0.116076,10
combined_authority_stress,cbf_safety_filter,task_success,-0.085417,0.035074,-0.120490,-0.050343,10
combined_authority_stress,cbf_safety_filter,unsafe_autonomy,-0.045187,0.000372,-0.045560,-0.044815,10
combined_authority_stress,mpc_risk_arbitration,authority_regret,0.070336,0.000778,0.069558,0.071114,10
combined_authority_stress,mpc_risk_arbitration,boundary_calibration_error,0.030504,0.000844,0.029660,0.031348,10
combined_authority_stress,mpc_risk_arbitration,handoff_churn,0.069269,0.000821,0.068448,0.070091,10
combined_authority_stress,mpc_risk_arbitration,human_burden,0.335674,0.001223,0.334452,0.336897,10
combined_authority_stress,mpc_risk_arbitration,intervention_cost,0.086316,0.000600,0.085716,0.086916,10
combined_authority_stress,mpc_risk_arbitration,late_handoff,0.026638,0.000419,0.026220,0.027057,10
combined_authority_stress,mpc_risk_arbitration,override_precision,-0.059896,0.001033,-0.060929,-0.058863,10
combined_authority_stress,mpc_risk_arbitration,recovery_success,-0.105177,0.001000,-0.106177,-0.104177,10
combined_authority_stress,mpc_risk_arbitration,robust_utility,-0.273391,0.020884,-0.294275,-0.252507,10
combined_authority_stress,mpc_risk_arbitration,safety_violation,0.067708,0.030283,0.037425,0.097991,10
combined_authority_stress,mpc_risk_arbitration,task_success,-0.103645,0.019574,-0.123220,-0.084071,10
combined_authority_stress,mpc_risk_arbitration,unsafe_autonomy,-0.058719,0.000358,-0.059076,-0.058361,10
combined_authority_stress,pomdp_handoff_policy,authority_regret,0.032379,0.000672,0.031706,0.033051,10
combined_authority_stress,pomdp_handoff_policy,boundary_calibration_error,0.020377,0.000802,0.019575,0.021179,10
combined_authority_stress,pomdp_handoff_policy,handoff_churn,0.029779,0.001096,0.028683,0.030874,10
combined_authority_stress,pomdp_handoff_policy,human_burden,0.150536,0.000958,0.149578,0.151493,10
combined_authority_stress,pomdp_handoff_policy,intervention_cost,0.025448,0.000542,0.024907,0.025990,10
combined_authority_stress,pomdp_handoff_policy,late_handoff,0.002335,0.000592,0.001743,0.002926,10
combined_authority_stress,pomdp_handoff_policy,override_precision,-0.020063,0.000723,-0.020786,-0.019340,10
combined_authority_stress,pomdp_handoff_policy,recovery_success,-0.033938,0.001112,-0.035050,-0.032825,10
combined_authority_stress,pomdp_handoff_policy,robust_utility,-0.114253,0.032323,-0.146576,-0.081930,10
combined_authority_stress,pomdp_handoff_policy,safety_violation,0.035937,0.033425,0.002512,0.069363,10
combined_authority_stress,pomdp_handoff_policy,task_success,-0.038541,0.034373,-0.072915,-0.004168,10
combined_authority_stress,pomdp_handoff_policy,unsafe_autonomy,-0.030627,0.000294,-0.030921,-0.030332,10
combined_authority_stress,recovery_aware_mpc,authority_regret,0.056035,0.000752,0.055283,0.056787,10
combined_authority_stress,recovery_aware_mpc,boundary_calibration_error,0.019799,0.000874,0.018925,0.020673,10
combined_authority_stress,recovery_aware_mpc,handoff_churn,0.060012,0.000791,0.059221,0.060803,10
combined_authority_stress,recovery_aware_mpc,human_burden,0.288064,0.001037,0.287027,0.289101,10
combined_authority_stress,recovery_aware_mpc,intervention_cost,0.038392,0.000781,0.037612,0.039173,10
combined_authority_stress,recovery_aware_mpc,late_handoff,0.030904,0.001023,0.029881,0.031927,10
combined_authority_stress,recovery_aware_mpc,override_precision,-0.049645,0.000509,-0.050154,-0.049136,10
combined_authority_stress,recovery_aware_mpc,recovery_success,-0.153516,0.000895,-0.154411,-0.152621,10
combined_authority_stress,recovery_aware_mpc,robust_utility,-0.234953,0.044176,-0.279128,-0.190777,10
combined_authority_stress,recovery_aware_mpc,safety_violation,0.031250,0.025327,0.005923,0.056577,10
combined_authority_stress,recovery_aware_mpc,task_success,-0.104167,0.037057,-0.141224,-0.067109,10
combined_authority_stress,recovery_aware_mpc,unsafe_autonomy,-0.055276,0.000202,-0.055478,-0.055074,10
combined_authority_stress,uncertainty_triggered_handoff,authority_regret,-0.041675,0.000777,-0.042452,-0.040898,10
combined_authority_stress,uncertainty_triggered_handoff,boundary_calibration_error,-0.029928,0.001050,-0.030978,-0.028877,10
combined_authority_stress,uncertainty_triggered_handoff,handoff_churn,-0.080070,0.001176,-0.081247,-0.078894,10
combined_authority_stress,uncertainty_triggered_handoff,human_burden,-0.097301,0.001050,-0.098351,-0.096251,10
combined_authority_stress,uncertainty_triggered_handoff,intervention_cost,-0.000722,0.000472,-0.001194,-0.000250,10
combined_authority_stress,uncertainty_triggered_handoff,late_handoff,-0.028865,0.000658,-0.029523,-0.028206,10
combined_authority_stress,uncertainty_triggered_handoff,override_precision,0.059831,0.000666,0.059165,0.060498,10
combined_authority_stress,uncertainty_triggered_handoff,recovery_success,0.124448,0.000920,0.123528,0.125369,10
combined_authority_stress,uncertainty_triggered_handoff,robust_utility,0.155494,0.033117,0.122378,0.188611,10
combined_authority_stress,uncertainty_triggered_handoff,safety_violation,0.001562,0.027604,-0.026042,0.029167,10
combined_authority_stress,uncertainty_triggered_handoff,task_success,0.098438,0.031092,0.067346,0.129530,10
combined_authority_stress,uncertainty_triggered_handoff,unsafe_autonomy,0.016412,0.000234,0.016178,0.016647,10
contact_mode_shift,authority_boundary_v4,authority_regret,-0.035487,0.000775,-0.036262,-0.034712,10
contact_mode_shift,authority_boundary_v4,boundary_calibration_error,-0.010371,0.000879,-0.011249,-0.009492,10
contact_mode_shift,authority_boundary_v4,handoff_churn,-0.019689,0.000800,-0.020489,-0.018890,10
contact_mode_shift,authority_boundary_v4,human_burden,-0.153569,0.001357,-0.154925,-0.152212,10
contact_mode_shift,authority_boundary_v4,intervention_cost,-0.014526,0.000697,-0.015223,-0.013829,10
contact_mode_shift,authority_boundary_v4,late_handoff,-0.015422,0.000456,-0.015878,-0.014967,10
