stress_axis,stress_level,method,seed,n,task_success,safety_violation,authority_regret,human_burden,late_handoff,handoff_churn,recovery_success,intervention_cost,boundary_calibration_error,override_precision,unsafe_autonomy,robust_utility
authority_churn,0.00,mpc_risk_arbitration,8,120,0.441667,0.183333,0.254007,0.371273,0.313190,0.305031,0.718646,0.287562,0.249424,0.566473,0.123627,0.117414
authority_churn,0.00,mpc_risk_arbitration,9,120,0.458333,0.191667,0.256369,0.373912,0.317698,0.308975,0.716638,0.288562,0.251352,0.562891,0.124621,0.126235
authority_churn,0.00,pomdp_handoff_policy,0,120,0.383333,0.200000,0.293794,0.558023,0.340154,0.349723,0.643039,0.350280,0.264223,0.520282,0.097258,-0.028017
authority_churn,0.00,pomdp_handoff_policy,1,120,0.358333,0.208333,0.292001,0.554138,0.337659,0.343054,0.646247,0.347940,0.261530,0.526793,0.097694,-0.055113
authority_churn,0.00,pomdp_handoff_policy,2,120,0.341667,0.200000,0.293568,0.555416,0.339477,0.349561,0.646633,0.349528,0.263049,0.524707,0.097919,-0.068511
authority_churn,0.00,pomdp_handoff_policy,3,120,0.341667,0.300000,0.293769,0.558714,0.341318,0.346789,0.646836,0.349416,0.261434,0.523912,0.096723,-0.131287
authority_churn,0.00,pomdp_handoff_policy,4,120,0.400000,0.175000,0.292380,0.553112,0.338109,0.347129,0.648256,0.347198,0.261493,0.523082,0.097800,0.007046
authority_churn,0.00,pomdp_handoff_policy,5,120,0.400000,0.266667,0.293795,0.557414,0.339867,0.348169,0.643652,0.349066,0.261958,0.523185,0.097337,-0.052135
authority_churn,0.00,pomdp_handoff_policy,6,120,0.408333,0.183333,0.290943,0.554866,0.337239,0.347033,0.647912,0.348849,0.261600,0.525985,0.097490,0.010109
authority_churn,0.00,pomdp_handoff_policy,7,120,0.391667,0.200000,0.294974,0.558791,0.338780,0.347471,0.646958,0.348939,0.262102,0.524836,0.097667,-0.019225
authority_churn,0.00,pomdp_handoff_policy,8,120,0.433333,0.216667,0.293923,0.558204,0.336603,0.347002,0.643352,0.347515,0.261309,0.523927,0.096517,0.012770
authority_churn,0.00,pomdp_handoff_policy,9,120,0.358333,0.283333,0.294174,0.561160,0.341331,0.346950,0.643135,0.350257,0.262251,0.521724,0.097025,-0.105377
authority_churn,0.00,recovery_aware_mpc,0,120,0.375000,0.216667,0.269637,0.423291,0.313446,0.319680,0.764885,0.337743,0.265384,0.552411,0.120734,0.010571
authority_churn,0.00,recovery_aware_mpc,1,120,0.508333,0.241667,0.268752,0.419855,0.309845,0.314317,0.766276,0.336578,0.262510,0.555580,0.120451,0.130898
authority_churn,0.00,recovery_aware_mpc,2,120,0.466667,0.191667,0.268465,0.419686,0.313823,0.316663,0.764136,0.335645,0.263190,0.553578,0.121089,0.119347
authority_churn,0.00,recovery_aware_mpc,3,120,0.441667,0.150000,0.270129,0.422114,0.311495,0.319964,0.765827,0.335972,0.261923,0.553746,0.119767,0.119261
authority_churn,0.00,recovery_aware_mpc,4,120,0.441667,0.191667,0.269520,0.417811,0.309312,0.319177,0.762505,0.334315,0.262229,0.552953,0.121159,0.094956
