split,ablation,metric,mean,ci95,n
combined_authority_stress,safety_only_boundary,robust_utility,0.079436,0.022525,10
low_signal_high_risk_shift,confidence_only_boundary,task_success,0.151191,0.014363,10
low_signal_high_risk_shift,confidence_only_boundary,safety_violation,0.333929,0.018606,10
low_signal_high_risk_shift,confidence_only_boundary,authority_regret,0.454489,0.000616,10
low_signal_high_risk_shift,confidence_only_boundary,human_burden,0.826696,0.000789,10
low_signal_high_risk_shift,confidence_only_boundary,late_handoff,0.404110,0.000550,10
low_signal_high_risk_shift,confidence_only_boundary,handoff_churn,0.475153,0.000659,10
low_signal_high_risk_shift,confidence_only_boundary,recovery_success,0.341636,0.000696,10
low_signal_high_risk_shift,confidence_only_boundary,intervention_cost,0.340929,0.000620,10
low_signal_high_risk_shift,confidence_only_boundary,boundary_calibration_error,0.362769,0.000730,10
low_signal_high_risk_shift,confidence_only_boundary,override_precision,0.312621,0.000406,10
low_signal_high_risk_shift,confidence_only_boundary,unsafe_autonomy,0.064211,0.000121,10
low_signal_high_risk_shift,confidence_only_boundary,robust_utility,-0.496312,0.020479,10
low_signal_high_risk_shift,full_authority_boundary_v5,task_success,0.345238,0.030818,10
low_signal_high_risk_shift,full_authority_boundary_v5,safety_violation,0.249405,0.013962,10
low_signal_high_risk_shift,full_authority_boundary_v5,authority_regret,0.321584,0.000543,10
low_signal_high_risk_shift,full_authority_boundary_v5,human_burden,0.693181,0.000955,10
low_signal_high_risk_shift,full_authority_boundary_v5,late_handoff,0.314960,0.000757,10
low_signal_high_risk_shift,full_authority_boundary_v5,handoff_churn,0.414581,0.000611,10
low_signal_high_risk_shift,full_authority_boundary_v5,recovery_success,0.615261,0.000962,10
low_signal_high_risk_shift,full_authority_boundary_v5,intervention_cost,0.366729,0.000473,10
low_signal_high_risk_shift,full_authority_boundary_v5,boundary_calibration_error,0.292531,0.000551,10
low_signal_high_risk_shift,full_authority_boundary_v5,override_precision,0.492624,0.000597,10
low_signal_high_risk_shift,full_authority_boundary_v5,unsafe_autonomy,0.071967,0.000267,10
low_signal_high_risk_shift,full_authority_boundary_v5,robust_utility,-0.143748,0.033622,10
low_signal_high_risk_shift,minus_boundary_uncertainty,task_success,0.337500,0.017221,10
low_signal_high_risk_shift,minus_boundary_uncertainty,safety_violation,0.270238,0.020297,10
low_signal_high_risk_shift,minus_boundary_uncertainty,authority_regret,0.356048,0.000586,10
low_signal_high_risk_shift,minus_boundary_uncertainty,human_burden,0.665090,0.000947,10
low_signal_high_risk_shift,minus_boundary_uncertainty,late_handoff,0.328116,0.000948,10
low_signal_high_risk_shift,minus_boundary_uncertainty,handoff_churn,0.434794,0.001179,10
low_signal_high_risk_shift,minus_boundary_uncertainty,recovery_success,0.567401,0.000443,10
low_signal_high_risk_shift,minus_boundary_uncertainty,intervention_cost,0.343864,0.000484,10
low_signal_high_risk_shift,minus_boundary_uncertainty,boundary_calibration_error,0.342590,0.000545,10
low_signal_high_risk_shift,minus_boundary_uncertainty,override_precision,0.442816,0.001213,10
low_signal_high_risk_shift,minus_boundary_uncertainty,unsafe_autonomy,0.089823,0.000293,10
low_signal_high_risk_shift,minus_boundary_uncertainty,robust_utility,-0.172349,0.015015,10
low_signal_high_risk_shift,minus_consequence_risk_model,task_success,0.294048,0.012074,10
low_signal_high_risk_shift,minus_consequence_risk_model,safety_violation,0.306548,0.021740,10
low_signal_high_risk_shift,minus_consequence_risk_model,authority_regret,0.380635,0.000673,10
low_signal_high_risk_shift,minus_consequence_risk_model,human_burden,0.666103,0.000961,10
low_signal_high_risk_shift,minus_consequence_risk_model,late_handoff,0.329739,0.001135,10
low_signal_high_risk_shift,minus_consequence_risk_model,handoff_churn,0.404728,0.000513,10
low_signal_high_risk_shift,minus_consequence_risk_model,recovery_success,0.545103,0.000645,10
low_signal_high_risk_shift,minus_consequence_risk_model,intervention_cost,0.341373,0.000372,10
low_signal_high_risk_shift,minus_consequence_risk_model,boundary_calibration_error,0.322809,0.000477,10
low_signal_high_risk_shift,minus_consequence_risk_model,override_precision,0.433169,0.000852,10
low_signal_high_risk_shift,minus_consequence_risk_model,unsafe_autonomy,0.100588,0.000320,10
